;;;;;;;;;;;;;;;;;PROMEDIO
26/06/2017 19:40;345;26/06/2017 19:40;378;26/06/2017 19:40;367;26/06/2017 19:40;378;;26/06/2017 19:40;0,169750615;26/06/2017 19:40;0,1555914;26/06/2017 19:40;0,160168914;26/06/2017 19:40;0,1555914;0,160311138
26/06/2017 19:40;345;26/06/2017 19:40;377;26/06/2017 19:40;370;26/06/2017 19:41;378;;26/06/2017 19:40;0,169750615;26/06/2017 19:40;0,156001996;26/06/2017 19:40;0,158907034;26/06/2017 19:41;0,1555914;0,160448004
26/06/2017 19:40;348;26/06/2017 19:40;376;26/06/2017 19:40;368;26/06/2017 19:41;380;;26/06/2017 19:40;0,168408616;26/06/2017 19:40;0,156413683;26/06/2017 19:40;0,159747145;26/06/2017 19:41;0,154773456;0,159865251
26/06/2017 19:40;346;26/06/2017 19:40;377;26/06/2017 19:40;367;26/06/2017 19:41;379;;26/06/2017 19:40;0,16930199;26/06/2017 19:40;0,156001996;26/06/2017 19:40;0,160168914;26/06/2017 19:41;0,155181888;0,160161958
26/06/2017 19:40;345;26/06/2017 19:40;379;26/06/2017 19:41;369;26/06/2017 19:41;377;;26/06/2017 19:40;0,169750615;26/06/2017 19:40;0,155181888;26/06/2017 19:41;0,15932652;26/06/2017 19:41;0,156001996;0,1603115
26/06/2017 19:41;346;26/06/2017 19:40;377;26/06/2017 19:41;369;26/06/2017 19:41;379;;26/06/2017 19:41;0,16930199;26/06/2017 19:40;0,156001996;26/06/2017 19:41;0,15932652;26/06/2017 19:41;0,155181888;0,160161958
26/06/2017 19:41;348;26/06/2017 19:40;377;26/06/2017 19:41;368;26/06/2017 19:41;381;;26/06/2017 19:41;0,168408616;26/06/2017 19:40;0,156001996;26/06/2017 19:41;0,159747145;26/06/2017 19:41;0,154366097;0,159592236
26/06/2017 19:41;346;26/06/2017 19:41;377;26/06/2017 19:41;367;26/06/2017 19:41;380;;26/06/2017 19:41;0,16930199;26/06/2017 19:41;0,156001996;26/06/2017 19:41;0,160168914;26/06/2017 19:41;0,154773456;0,160025814
26/06/2017 19:41;345;26/06/2017 19:41;379;26/06/2017 19:41;369;26/06/2017 19:41;379;;26/06/2017 19:41;0,169750615;26/06/2017 19:41;0,155181888;26/06/2017 19:41;0,15932652;26/06/2017 19:41;0,155181888;0,160038131
26/06/2017 19:41;346;26/06/2017 19:41;378;26/06/2017 19:41;371;26/06/2017 19:41;378;;26/06/2017 19:41;0,16930199;26/06/2017 19:41;0,1555914;26/06/2017 19:41;0,15848868;26/06/2017 19:41;0,1555914;0,160161596
26/06/2017 19:41;348;26/06/2017 19:41;376;26/06/2017 19:41;369;26/06/2017 19:41;379;;26/06/2017 19:41;0,168408616;26/06/2017 19:41;0,156413683;26/06/2017 19:41;0,15932652;26/06/2017 19:41;0,155181888;0,160001396
26/06/2017 19:41;347;26/06/2017 19:41;378;26/06/2017 19:41;369;26/06/2017 19:41;380;;26/06/2017 19:41;0,168854659;26/06/2017 19:41;0,1555914;26/06/2017 19:41;0,15932652;26/06/2017 19:41;0,154773456;0,159739838
26/06/2017 19:41;346;26/06/2017 19:41;379;26/06/2017 19:41;368;26/06/2017 19:41;380;;26/06/2017 19:41;0,16930199;26/06/2017 19:41;0,155181888;26/06/2017 19:41;0,159747145;26/06/2017 19:41;0,154773456;0,159752445
26/06/2017 19:41;346;26/06/2017 19:41;379;26/06/2017 19:41;369;26/06/2017 19:42;380;;26/06/2017 19:41;0,16930199;26/06/2017 19:41;0,155181888;26/06/2017 19:41;0,15932652;26/06/2017 19:42;0,154773456;0,159752445
26/06/2017 19:41;346;26/06/2017 19:41;378;26/06/2017 19:41;369;26/06/2017 19:42;379;;26/06/2017 19:41;0,16930199;26/06/2017 19:41;0,1555914;26/06/2017 19:41;0,15932652;26/06/2017 19:42;0,155181888;0,160025093
26/06/2017 19:41;347;26/06/2017 19:41;377;26/06/2017 19:41;371;26/06/2017 19:42;379;;26/06/2017 19:41;0,168854659;26/06/2017 19:41;0,156001996;26/06/2017 19:41;0,15848868;26/06/2017 19:42;0,155181888;0,160012848
26/06/2017 19:41;348;26/06/2017 19:41;378;26/06/2017 19:42;369;26/06/2017 19:42;380;;26/06/2017 19:41;0,168408616;26/06/2017 19:41;0,1555914;26/06/2017 19:42;0,15932652;26/06/2017 19:42;0,154773456;0,159591157
26/06/2017 19:42;347;26/06/2017 19:41;378;26/06/2017 19:42;369;26/06/2017 19:42;382;;26/06/2017 19:42;0,168854659;26/06/2017 19:41;0,1555914;26/06/2017 19:42;0,15932652;26/06/2017 19:42;0,153959806;0,159468621
26/06/2017 19:42;346;26/06/2017 19:41;380;26/06/2017 19:42;369;26/06/2017 19:42;381;;26/06/2017 19:42;0,16930199;26/06/2017 19:41;0,154773456;26/06/2017 19:42;0,15932652;26/06/2017 19:42;0,154366097;0,159480514
26/06/2017 19:42;347;26/06/2017 19:42;380;26/06/2017 19:42;370;26/06/2017 19:42;379;;26/06/2017 19:42;0,168854659;26/06/2017 19:42;0,154773456;26/06/2017 19:42;0,158907034;26/06/2017 19:42;0,155181888;0,159603334
26/06/2017 19:42;348;26/06/2017 19:42;378;26/06/2017 19:42;372;26/06/2017 19:42;379;;26/06/2017 19:42;0,168408616;26/06/2017 19:42;0,1555914;26/06/2017 19:42;0,158071453;26/06/2017 19:42;0,155181888;0,159727301
26/06/2017 19:42;349;26/06/2017 19:42;379;26/06/2017 19:42;371;26/06/2017 19:42;379;;26/06/2017 19:42;0,167963852;26/06/2017 19:42;0,155181888;26/06/2017 19:42;0,15848868;26/06/2017 19:42;0,155181888;0,159442543
26/06/2017 19:42;349;26/06/2017 19:42;379;26/06/2017 19:42;371;26/06/2017 19:42;380;;26/06/2017 19:42;0,167963852;26/06/2017 19:42;0,155181888;26/06/2017 19:42;0,15848868;26/06/2017 19:42;0,154773456;0,159306399
26/06/2017 19:42;348;26/06/2017 19:42;381;26/06/2017 19:42;371;26/06/2017 19:42;381;;26/06/2017 19:42;0,168408616;26/06/2017 19:42;0,154366097;26/06/2017 19:42;0,15848868;26/06/2017 19:42;0,154366097;0,159046936
26/06/2017 19:42;348;26/06/2017 19:42;380;26/06/2017 19:42;370;26/06/2017 19:42;382;;26/06/2017 19:42;0,168408616;26/06/2017 19:42;0,154773456;26/06/2017 19:42;0,158907034;26/06/2017 19:42;0,153959806;0,159047292
26/06/2017 19:42;347;26/06/2017 19:42;379;26/06/2017 19:42;371;26/06/2017 19:43;381;;26/06/2017 19:42;0,168854659;26/06/2017 19:42;0,155181888;26/06/2017 19:42;0,15848868;26/06/2017 19:43;0,154366097;0,159467548
